"SYMBOL","Description"
"PDE1B","phosphodiesterase 1B, calmodulin-dependent"
"CINP","cyclin-dependent kinase 2-interacting protein"
"HDAC7","histone deacetylase 7A"
"PDGFRA","platelet-derived growth factor receptor, alpha polypeptide"
"ESF1","ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"
"PCF11","PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)"
"MED15","mediator complex subunit 15"
"PDGFRB","platelet-derived growth factor receptor, beta polypeptide"
"ATP5PB","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"PDHB","pyruvate dehydrogenase (lipoamide) beta"
"RBMX2","RNA binding motif protein, X-linked 2"
"MRPL48","mitochondrial ribosomal protein L48"
"TMBIM4","transmembrane BAX inhibitor motif containing 4"
"CDK5RAP1","CDK5 regulatory subunit associated protein 1"
"GINS2","GINS complex subunit 2 (Psf2 homolog)"
"IFT25","chromosome 1 open reading frame 41"
"PDK4","pyruvate dehydrogenase kinase, isozyme 4"
"LSM7","LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"LSM8","LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"PDPK1","3-phosphoinositide dependent protein kinase-1"
"SELENOT","selenoprotein T"
"CMPK1","cytidylate kinase"
"POLR3K","polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"
"WBP11","WW domain binding protein 11"
"ARID4B","AT rich interactive domain 4B (RBP1-like)"
"STK26","serine/threonine protein kinase MST4"
"SERPINF1","serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
"RSF1","remodeling and spacing factor 1"
"KDM3B","jumonji domain containing 1B"
"CALML5","calmodulin-like 5"
"GALNT7","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)"
"PEX1","peroxisome biogenesis factor 1"
"ATP5MC3","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)"
"PEX13","peroxisome biogenesis factor 13"
"PFDN5","prefoldin subunit 5"
"PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
"ATP5ME","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E"
"PGD","phosphogluconate dehydrogenase"
"ATP5PF","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"
"ATP6V1A","ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
"PGR","progesterone receptor"
"SLC25A3","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
"ATP6V1B2","ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
"ATP6V0C","ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
"PIGH","phosphatidylinositol glycan anchor biosynthesis, class H"
"PIK3C3","phosphoinositide-3-kinase, class 3"
"PIK3CA","phosphoinositide-3-kinase, catalytic, alpha polypeptide"
"PIK3CD","phosphoinositide-3-kinase, catalytic, delta polypeptide"
"PIK3R2","phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)"
"ATP6V1E1","ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"
"ACP1","acid phosphatase 1, soluble"
"PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"
"PKLR","pyruvate kinase, liver and RBC"
"PKM","pyruvate kinase, muscle"
"PKP2","plakophilin 2"
"PLAGL1","pleiomorphic adenoma gene-like 1"
"PLAT","plasminogen activator, tissue"
"PLAU","plasminogen activator, urokinase"
"PLCB2","phospholipase C, beta 2"
"PLCG1","phospholipase C, gamma 1"
"NUP54","nucleoporin 54kDa"
"PLD2","phospholipase D2"
"CLIC5","chloride intracellular channel 5"
"SERPINF2","serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2"
"PLK1","polo-like kinase 1 (Drosophila)"
"PLOD1","procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"
"PLOD2","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
"PLSCR1","phospholipid scramblase 1"
"ATP6V0A1","ATPase, H+ transporting, lysosomal V0 subunit a1"
"PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1"
"PMM1","phosphomannomutase 1"
"PELO","pelota homolog (Drosophila)"
"EXOSC10","exosome component 10"
"ATP5PO","ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"
"MIS18A","chromosome 21 open reading frame 45"
"PNN","pinin, desmosome associated protein"
"MRPL39","mitochondrial ribosomal protein L39"
"NANS","N-acetylneuraminic acid synthase (sialic acid synthase)"
"CYCS","cytochrome c, somatic"
"PODXL","podocalyxin-like"
"POLE","polymerase (DNA directed), epsilon"
"POLE2","polymerase (DNA directed), epsilon 2 (p59 subunit)"
"POLR2B","polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"
"POLR2C","polymerase (RNA) II (DNA directed) polypeptide C, 33kDa"
"GDAP1","ganglioside-induced differentiation-associated protein 1"
"POLR2D","polymerase (RNA) II (DNA directed) polypeptide D"
"POLR2F","polymerase (RNA) II (DNA directed) polypeptide F"
"WNT4","wingless-type MMTV integration site family, member 4"
"POLR2G","polymerase (RNA) II (DNA directed) polypeptide G"
"POLR2I","polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa"
"POLR2J","polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa"
"POLR2L","polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa"
"YIPF1","Yip1 domain family, member 1"
"GAR1","nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)"
"MIOS","hypothetical protein FLJ20323"
"TOLLIP","toll interacting protein"
"KRT20","keratin 20"
"PIMREG","family with sequence similarity 64, member A"
"CHPF2","chondroitin sulfate glucuronyltransferase"
"TMCO1","transmembrane and coiled-coil domains 1"
"DHX29","DEAH (Asp-Glu-Ala-His) box polypeptide 29"
"EXOSC4","exosome component 4"
"APBB1IP","amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"
"NDUFB11","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa"
"DDIT4","DNA-damage-inducible transcript 4"
"TOMM7","translocase of outer mitochondrial membrane 7 homolog (yeast)"
"GNL3L","guanine nucleotide binding protein-like 3 (nucleolar)-like"
"ING3","inhibitor of growth family, member 3"
"PAF1","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"
"PPARG","peroxisome proliferator-activated receptor gamma"
"MED1","mediator complex subunit 1"
"RRN3","RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)"
"PPAT","phosphoribosyl pyrophosphate amidotransferase"
"MPHOSPH8","M-phase phosphoprotein 8"
"XAF1","XIAP associated factor-1"
"PPBP","pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)"
"SAMD9","sterile alpha motif domain containing 9"
"AFTPH","aftiphilin"
"QPCTL","glutaminyl-peptide cyclotransferase-like"
"PPID","peptidylprolyl isomerase D (cyclophilin D)"
"NDE1","nudE nuclear distribution gene E homolog 1 (A. nidulans)"
"ERCC6L","excision repair cross-complementing rodent repair deficiency, complementation group 6-like"
"MS4A12","membrane-spanning 4-domains, subfamily A, member 12"
"EPS8L1","EPS8-like 1"
"SPDL1","coiled-coil domain containing 99"
"CMTM6","CKLF-like MARVEL transmembrane domain containing 6"
"HAUS4","chromosome 14 open reading frame 94"
"RNF125","ring finger protein 125"
"MRPL16","mitochondrial ribosomal protein L16"
"PPM1B","protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform"
"TMEM132A","transmembrane protein 132A"
"NMRK1","chromosome 9 open reading frame 95"
"PPP1CA","protein phosphatase 1, catalytic subunit, alpha isoform"
"ACP5","acid phosphatase 5, tartrate resistant"
"HERC6","hect domain and RLD 6"
"PRPF39","PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)"
"PPP1CC","protein phosphatase 1, catalytic subunit, gamma isoform"
"PPP1R1A","protein phosphatase 1, regulatory (inhibitor) subunit 1A"
"PTCD3","Pentatricopeptide repeat domain 3"
"MRPL20","mitochondrial ribosomal protein L20"
"ZWILCH","Zwilch, kinetochore associated, homolog (Drosophila)"
"MED9","mediator complex subunit 9"
"GPATCH1","G patch domain containing 1"
"PPP1R7","protein phosphatase 1, regulatory (inhibitor) subunit 7"
"MAGOHB","mago-nashi homolog 2"
"PRPF38B","PRP38 pre-mRNA processing factor 38 (yeast) domain containing B"
"HEATR1","HEAT repeat containing 1"
"CDCA8","cell division cycle associated 8"
"UBR7","chromosome 14 open reading frame 130"
"MRPS18A","mitochondrial ribosomal protein S18A"
"PPP2CB","protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform"
"SEC61A2","Sec61 alpha 2 subunit (S. cerevisiae)"
"MRM3","RNA methyltransferase like 1"
"PPP2R1A","protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform"
"DNAJC17","DnaJ (Hsp40) homolog, subfamily C, member 17"
"PPP2R1B","protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform"
"PPP2R2A","protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform"
"FANCI","Fanconi anemia, complementation group I"
"PPP2R2B","protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform"
"NAT10","N-acetyltransferase 10"
"NEIL3","nei endonuclease VIII-like 3 (E. coli)"
"PPP2R5A","protein phosphatase 2, regulatory subunit B', alpha isoform"
"PPP2R5B","protein phosphatase 2, regulatory subunit B', beta isoform"
"IMP3","IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)"
"BRF2","BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like"
"BRIX1","brix domain containing 2"
"PPP2R5E","protein phosphatase 2, regulatory subunit B', epsilon isoform"
"RSAD1","radical S-adenosyl methionine domain containing 1"
"TMA16","hypothetical protein FLJ11184"
"PPP4C","protein phosphatase 4 (formerly X), catalytic subunit"
"PPP3R1","protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform"
"STYK1","serine/threonine/tyrosine kinase 1"
"PPP5C","protein phosphatase 5, catalytic subunit"
"MCM10","minichromosome maintenance complex component 10"
"CSGALNACT2","chondroitin sulfate GalNAcT-2"
"NDUFAF7","chromosome 2 open reading frame 56"
"SMPD3","sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)"
"BMP2K","BMP2 inducible kinase"
"DDX60","hypothetical protein FLJ20035"
"FERMT1","chromosome 20 open reading frame 42"
"DOCK10","dedicator of cytokinesis 10"
"OSGEP","O-sialoglycoprotein endopeptidase"
"NHP2","nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)"
"PRKACA","protein kinase, cAMP-dependent, catalytic, alpha"
"PRKACG","protein kinase, cAMP-dependent, catalytic, gamma"
"LUC7L","LUC7-like (S. cerevisiae)"
"RBM22","RNA binding motif protein 22"
"POLR3B","polymerase (RNA) III (DNA directed) polypeptide B"
"NECAP2","NECAP endocytosis associated 2"
"TSR1","TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)"
"ASF1B","ASF1 anti-silencing function 1 homolog B (S. cerevisiae)"
"VPS35","vacuolar protein sorting 35 homolog (S. cerevisiae)"
"ARFGAP1","ADP-ribosylation factor GTPase activating protein 1"
"AP5M1","chromosome 14 open reading frame 108"
"NUP133","nucleoporin 133kDa"
"WDR12","WD repeat domain 12"
"RIOK2","RIO kinase 2 (yeast)"
"MBNL3","muscleblind-like 3 (Drosophila)"
"FOXJ2","forkhead box J2"
"ADCY10","testicular soluble adenylyl cyclase"
"UTP6","UTP6, small subunit (SSU) processome component, homolog (yeast)"
"EAF2","ELL associated factor 2"
"ZC3H15","zinc finger CCCH-type containing 15"
"TMEM126B","transmembrane protein 126B"
"PKN2","protein kinase N2"
"PRKCQ","protein kinase C, theta"
"PRKCZ","protein kinase C, zeta"
"NXT2","nuclear transport factor 2-like export factor 2"
"PRKDC","protein kinase, DNA-activated, catalytic polypeptide"
"MAPK1","mitogen-activated protein kinase 1"
"MAPK3","mitogen-activated protein kinase 3"
"NXF3","nuclear RNA export factor 3"
"MAPK11","mitogen-activated protein kinase 11"
"MAPK13","mitogen-activated protein kinase 13"
"MAP2K1","mitogen-activated protein kinase kinase 1"
"MAP2K2","mitogen-activated protein kinase kinase 2"
"MAP2K5","mitogen-activated protein kinase kinase 5"
"MAP2K6","mitogen-activated protein kinase kinase 6"
"EIF2AK2","eukaryotic translation initiation factor 2-alpha kinase 2"
"PRL","prolactin"
"PROC","protein C (inactivator of coagulation factors Va and VIIIa)"
"MEPCE","methylphosphate capping enzyme"
"METTL3","methyltransferase like 3"
"AZGP1","alpha-2-glycoprotein 1, zinc-binding"
"CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1"
"PSEN1","presenilin 1 (Alzheimer disease 3)"
"EIF5A2","eukaryotic translation initiation factor 5A2"
"RETN","resistin"
"ZC3HAV1","zinc finger CCCH-type, antiviral 1"
"PSMA2","proteasome (prosome, macropain) subunit, alpha type, 2"
"PSMA3","proteasome (prosome, macropain) subunit, alpha type, 3"
"PSMA4","proteasome (prosome, macropain) subunit, alpha type, 4"
"PSMA6","proteasome (prosome, macropain) subunit, alpha type, 6"
"NDUFA4L2","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2"
"PNO1","partner of NOB1 homolog (S. cerevisiae)"
"SH3GLB2","SH3-domain GRB2-like endophilin B2"
"C1GALT1","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
"EXOSC5","exosome component 5"
"CMC2","chromosome 16 open reading frame 61"
"PSMB7","proteasome (prosome, macropain) subunit, beta type, 7"
"PYY","peptide YY"
"PSMG2","tumor necrosis factor superfamily, member 5-induced protein 1"
"TOMM22","translocase of outer mitochondrial membrane 22 homolog (yeast)"
"CHPT1","choline phosphotransferase 1"
"CCDC47","coiled-coil domain containing 47"
"PSMC2","proteasome (prosome, macropain) 26S subunit, ATPase, 2"
"SLC17A7","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7"
"PSMC4","proteasome (prosome, macropain) 26S subunit, ATPase, 4"
"UTP3","UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)"
"PSMC5","proteasome (prosome, macropain) 26S subunit, ATPase, 5"
"TIGAR","chromosome 12 open reading frame 5"
"PSMD5","proteasome (prosome, macropain) 26S subunit, non-ATPase, 5"
"NUP107","nucleoporin 107kDa"
"APMAP","chromosome 20 open reading frame 3"
"PSMD7","proteasome (prosome, macropain) 26S subunit, non-ATPase, 7"
"PSMD8","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8"
"PELI1","pellino homolog 1 (Drosophila)"
"PSMD10","proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"
"CAMK1G","calcium/calmodulin-dependent protein kinase IG"
"PSME2","proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
"PTEN","phosphatase and tensin homolog (mutated in multiple advanced cancers 1)"
"PTGER2","prostaglandin E receptor 2 (subtype EP2), 53kDa"
"CBX8","chromobox homolog 8 (Pc class homolog, Drosophila)"
"PTK2","PTK2 protein tyrosine kinase 2"
"SYT13","synaptotagmin XIII"
"SEMA4G","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G"
"ANKRA2","ankyrin repeat, family A (RFXANK-like), 2"
"CATSPERG","chromosome 19 open reading frame 15"
"BAK1","BCL2-antagonist/killer 1"
"BARD1","BRCA1 associated RING domain 1"
"PVALB","parvalbumin"
"BAX","BCL2-associated X protein"
"PEX2","peroxisomal membrane protein 3, 35kDa (Zellweger syndrome)"
"PXN","paxillin"
"PYGB","phosphorylase, glycogen; brain"
"PYGL","phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)"
"PYGM","phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)"
"EPS15L1","epidermal growth factor receptor pathway substrate 15-like 1"
"RBM25","RNA binding motif protein 25"
"RRAGD","Ras-related GTP binding D"
"QARS1","glutaminyl-tRNA synthetase"
"RAB5A","RAB5A, member RAS oncogene family"
"RAB5B","RAB5B, member RAS oncogene family"
"RAC2","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"RAD21","RAD21 homolog (S. pombe)"
"RAD23B","RAD23 homolog B (S. cerevisiae)"
"RALA","v-ral simian leukemia viral oncogene homolog A (ras related)"
"RANBP2","RAN binding protein 2"
"RAP1A","RAP1A, member of RAS oncogene family"
"RASA1","RAS p21 protein activator (GTPase activating protein) 1"
"RB1","retinoblastoma 1 (including osteosarcoma)"
"RBBP4","retinoblastoma binding protein 4"
"RBBP5","retinoblastoma binding protein 5"
"RBBP7","retinoblastoma binding protein 7"
"RBL2","retinoblastoma-like 2 (p130)"
"BCKDHB","branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)"
"RBP4","retinol binding protein 4, plasma"
"RCN1","reticulocalbin 1, EF-hand calcium binding domain"
"CCND1","cyclin D1"
"RELB","v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)"
"REN","renin"
"RET","ret proto-oncogene"
"BCL2A1","BCL2-related protein A1"
"REV3L","REV3-like, catalytic subunit of DNA polymerase zeta (yeast)"
"RFC2","replication factor C (activator 1) 2, 40kDa"
"RFC3","replication factor C (activator 1) 3, 38kDa"
"RFC4","replication factor C (activator 1) 4, 37kDa"
"RFNG","RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"BCL2L2","BCL2-like 2"
"ACTA2","actin, alpha 2, smooth muscle, aorta"
"RHO","rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant)"
"BCL3","B-cell CLL/lymphoma 3"
"RNASE2","ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)"
"RNASEL","ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)"
"TRMT11","tRNA methyltransferase 11 homolog (S. cerevisiae)"
"MRPS35","mitochondrial ribosomal protein S35"
"APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"
"GUF1","GUF1 GTPase homolog (S. cerevisiae)"
"ABCE1","ATP-binding cassette, sub-family E (OABP), member 1"
"TNFRSF17","tumor necrosis factor receptor superfamily, member 17"
"ROBO1","roundabout, axon guidance receptor, homolog 1 (Drosophila)"
"ROM1","retinal outer segment membrane protein 1"
"RP2","retinitis pigmentosa 2 (X-linked recessive)"
"RPA1","replication protein A1, 70kDa"
"OPN1SW","opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)"
"RPL3","ribosomal protein L3"
"RPL3L","ribosomal protein L3-like"
"RPL4","ribosomal protein L4"
"RPL5","ribosomal protein L5"
"RPL8","ribosomal protein L8"
"RPL10","ribosomal protein L10"
"RPL12","ribosomal protein L12"
"RPL13","ribosomal protein L13"
"RPL15","ribosomal protein L15"
"RPL19","ribosomal protein L19"
"RPL22","ribosomal protein L22"
"RPL24","ribosomal protein L24"
"RPL27","ribosomal protein L27"
"RPL30","ribosomal protein L30"
"RPL36AL","ribosomal protein L36a-like"
"RPL37","ribosomal protein L37"
"RPL37A","ribosomal protein L37a"
"RPL38","ribosomal protein L38"
"RPLP1","ribosomal protein, large, P1"
"BCS1L","BCS1-like (yeast)"
"MRPL12","mitochondrial ribosomal protein L12"
"MRPS12","mitochondrial ribosomal protein S12"
"RPS2","ribosomal protein S2"
"RPS3","ribosomal protein S3"
"RPS4X","ribosomal protein S4, X-linked"
"RPS4Y1","ribosomal protein S4, Y-linked 1"
"RPS6","ribosomal protein S6"
"RPS6KB1","ribosomal protein S6 kinase, 70kDa, polypeptide 1"
"RPS9","ribosomal protein S9"
"RPS11","ribosomal protein S11"
"RPS14","ribosomal protein S14"
"RPS16","ribosomal protein S16"
"RPS19","ribosomal protein S19"
"RPS21","ribosomal protein S21"
"RPS23","ribosomal protein S23"
"RRAS","related RAS viral (r-ras) oncogene homolog"
"RREB1","ras responsive element binding protein 1"
"BDKRB1","bradykinin receptor B1"
"RRM1","ribonucleotide reductase M1 polypeptide"
"RYR2","ryanodine receptor 2 (cardiac)"
"S100A1","S100 calcium binding protein A1"
"S100A12","S100 calcium binding protein A12"
"MAPK12","mitogen-activated protein kinase 12"
"ATXN1","ataxin 1"
"BFSP1","beaded filament structural protein 1, filensin"
"SCN5A","sodium channel, voltage-gated, type V, alpha subunit"
"SCT","secretin"
"SCTR","secretin receptor"
"CCL1","chemokine (C-C motif) ligand 1"
"CCL2","chemokine (C-C motif) ligand 2"
"CEACAM1","carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)"
"CCL5","chemokine (C-C motif) ligand 5"
"CCL8","chemokine (C-C motif) ligand 8"
"CCL11","chemokine (C-C motif) ligand 11"
"CCL13","chemokine (C-C motif) ligand 13"
"CCL17","chemokine (C-C motif) ligand 17"
"CCL22","chemokine (C-C motif) ligand 22"
"CXCL6","chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)"
"CXCL11","chemokine (C-X-C motif) ligand 11"
"CX3CL1","chemokine (C-X3-C motif) ligand 1"
"BID","BH3 interacting domain death agonist"
"SDC2","syndecan 2"
"MRPL17","mitochondrial ribosomal protein L17"
"SDF2","stromal cell-derived factor 2"
"HEATR6","HEAT repeat containing 6"
"SDHA","succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
"BIK","BCL2-interacting killer (apoptosis-inducing)"
"SDHB","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"SDHD","succinate dehydrogenase complex, subunit D, integral membrane protein"
"MRPS14","mitochondrial ribosomal protein S14"
"SEC13","SEC13 homolog (S. cerevisiae)"
"SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
"RTP4","receptor (chemosensory) transporter protein 4"
"NOD2","nucleotide-binding oligomerization domain containing 2"
"LIN7B","lin-7 homolog B (C. elegans)"
"XYLT2","xylosyltransferase II"
"NCAPG","non-SMC condensin I complex, subunit G"
"CARD9","caspase recruitment domain family, member 9"
"SFRP1","secreted frizzled-related protein 1"
"SRSF1","splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"
"SRSF2","splicing factor, arginine/serine-rich 2"
"SRSF4","splicing factor, arginine/serine-rich 4"
"NOC3L","nucleolar complex associated 3 homolog (S. cerevisiae)"
"SIL1","SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)"
"CXCR5","Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)"
"POLR1E","polymerase (RNA) I polypeptide E, 53kDa"
"ACTR6","ARP6 actin-related protein 6 homolog (yeast)"
"SGCG","sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)"
"SGK1","serum/glucocorticoid regulated kinase"
"SGTA","small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"
"ITSN1","intersectin 1 (SH3 domain protein)"
"SH3GL2","SH3-domain GRB2-like 2"
"PDIA2","protein disulfide isomerase family A, member 2"
"SMURF2","SMAD specific E3 ubiquitin protein ligase 2"
"PARP12","poly (ADP-ribose) polymerase family, member 12"
"SI","sucrase-isomaltase (alpha-glucosidase)"
"CERK","ceramide kinase"
"RBM15","RNA binding motif protein 15"
"TBC1D15","TBC1 domain family, member 15"
"ST6GAL1","ST6 beta-galactosamide alpha-2,6-sialyltranferase 1"
"SPATA20","spermatogenesis associated 20"
"YTHDC2","YTH domain containing 2"
"TUT1","terminal uridylyl transferase 1, U6 snRNA-specific"
"PMEL","silver homolog (mouse)"
"MRPS15","mitochondrial ribosomal protein S15"
"MRPS11","mitochondrial ribosomal protein S11"
"MRPL40","mitochondrial ribosomal protein L40"
"MRPL34","mitochondrial ribosomal protein L34"
"MRPL11","mitochondrial ribosomal protein L11"
"MRPL9","mitochondrial ribosomal protein L9"
"SKP1","S-phase kinase-associated protein 1A (p19A)"
"SKP2","S-phase kinase-associated protein 2 (p45)"
"NOL6","nucleolar protein family 6 (RNA-associated)"
"UPF3B","UPF3 regulator of nonsense transcripts homolog B (yeast)"
"SLC1A6","solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
"INTS3","integrator complex subunit 3"
"SLC2A3","solute carrier family 2 (facilitated glucose transporter), member 3"
"PYCR3","pyrroline-5-carboxylate reductase-like"
"BMP4","bone morphogenetic protein 4"
"SLC6A2","solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2"
"SLC7A2","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
"SLC10A1","solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
"SLC13A1","solute carrier family 13 (sodium/sulfate symporters), member 1"
"SLC25A1","solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"
"SLC22A4","solute carrier family 22 (organic cation transporter), member 4"
"SNAI2","snail homolog 2 (Drosophila)"
"SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
"HLTF","helicase-like transcription factor"
"SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
"MRPS34","mitochondrial ribosomal protein S34"
"SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
"MTMR9","myotubularin related protein 9"
"SUMO3","SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)"
"SIGLEC1","sialic acid binding Ig-like lectin 1, sialoadhesin"
"SNAI1","snail homolog 1 (Drosophila)"
"SNAPC1","small nuclear RNA activating complex, polypeptide 1, 43kDa"
"SNAPC2","small nuclear RNA activating complex, polypeptide 2, 45kDa"
"SNRNP70","small nuclear ribonucleoprotein 70kDa polypeptide (RNP antigen)"
"SNRPB2","small nuclear ribonucleoprotein polypeptide B''"
"BNIP1","BCL2/adenovirus E1B 19kDa interacting protein 1"
"SNRPD1","small nuclear ribonucleoprotein D1 polypeptide 16kDa"
"SNRPD3","small nuclear ribonucleoprotein D3 polypeptide 18kDa"
"SNRPF","small nuclear ribonucleoprotein polypeptide F"
"SNTA1","syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)"
"SOD3","superoxide dismutase 3, extracellular"
"BNIP3","BCL2/adenovirus E1B 19kDa interacting protein 3"
"CAPN15","small optic lobes homolog (Drosophila)"
"SOS2","son of sevenless homolog 2 (Drosophila)"
"SOX2","SRY (sex determining region Y)-box 2"
"SOX9","SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)"
"SP1","Sp1 transcription factor"
"SP100","SP100 nuclear antigen"
"SPARC","secreted protein, acidic, cysteine-rich (osteonectin)"
"SPP2","secreted phosphoprotein 2, 24kDa"
"SPP1","secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)"
"SRC","v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"
"SRF","serum response factor (c-fos serum response element-binding transcription factor)"
"SRP9","signal recognition particle 9kDa"
"SRP14","signal recognition particle 14kDa (homologous Alu RNA binding protein)"
"BRCA1","breast cancer 1, early onset"
"SRPRA","signal recognition particle receptor ('docking protein')"
"TRIM21","tripartite motif-containing 21"
"SSB","Sjogren syndrome antigen B (autoantigen La)"
"SSRP1","structure specific recognition protein 1"
"SST","somatostatin"
"BRCA2","breast cancer 2, early onset"
"ST13","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)"
"STAT1","signal transducer and activator of transcription 1, 91kDa"
"STAT2","signal transducer and activator of transcription 2, 113kDa"
"STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)"
"STAT5A","signal transducer and activator of transcription 5A"
"STAT5B","signal transducer and activator of transcription 5B"
"STAT6","signal transducer and activator of transcription 6, interleukin-4 induced"
