"SYMBOL","ENTREZID","Description"
"ARFGEF2",10564,"ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)"
"ARFGEF1",10565,"ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)"
"AKAP3",10566,"A kinase (PRKA) anchor protein 3"
"RABAC1",10567,"Rab acceptor 1 (prenylated)"
"CEL",1056,"carboxyl ester lipase (bile salt-stimulated lipase)"
"DPYSL4",10570,"dihydropyrimidinase-like 4"
"SIVA1",10572,"SIVA1, apoptosis-inducing factor"
"MRPL28",10573,"mitochondrial ribosomal protein L28"
"CCT7",10574,"chaperonin containing TCP1, subunit 7 (eta)"
"CCT4",10575,"chaperonin containing TCP1, subunit 4 (delta)"
"CCT2",10576,"chaperonin containing TCP1, subunit 2 (beta)"
"NPC2",10577,"Niemann-Pick disease, type C2"
"GNLY",10578,"granulysin"
"TACC2",10579,"transforming, acidic coiled-coil containing protein 2"
"SORBS1",10580,"sorbin and SH3 domain containing 1"
"IFITM2",10581,"interferon induced transmembrane protein 2 (1-8D)"
"COLEC10",10584,"collectin sub-family member 10 (C-type lectin)"
"POMT1",10585,"protein-O-mannosyltransferase 1"
"MAB21L2",10586,"mab-21-like 2 (C. elegans)"
"TXNRD2",10587,"thioredoxin reductase 2"
"MTHFS",10588,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)"
"DRAP1",10589,"DR1-associated protein 1 (negative cofactor 2 alpha)"
"CENPA",1058,"centromere protein A"
"SCGN",10590,"secretagogin, EF-hand calcium binding protein"
"SMC2",10592,"structural maintenance of chromosomes 2"
"PRPF8",10594,"PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)"
"ERN2",10595,"endoplasmic reticulum to nucleus signaling 2"
"AHSA1",10598,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)"
"SLCO1B1",10599,"solute carrier organic anion transporter family, member 1B1"
"CENPB",1059,"centromere protein B, 80kDa"
"ADARB2",105,"adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)"
"USP16",10600,"ubiquitin specific peptidase 16"
"CDC42EP3",10602,"CDC42 effector protein (Rho GTPase binding) 3"
"SH2B2",10603,"SH2B adaptor protein 2"
"PAIP1",10605,"poly(A) binding protein interacting protein 1"
"PAICS",10606,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
"TBL3",10607,"transducin (beta)-like 3"
"MXD4",10608,"MAX dimerization protein 4"
"P3H4",10609,"synaptonemal complex protein SC65"
"CENPC",1060,"centromere protein C 1"
"ST6GALNAC2",10610,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"PDLIM5",10611,"PDZ and LIM domain 5"
"TRIM3",10612,"tripartite motif-containing 3"
"ERLIN1",10613,"ER lipid raft associated 1"
"HEXIM1",10614,"hexamethylene bis-acetamide inducible 1"
"SPAG5",10615,"sperm associated antigen 5"
"RBCK1",10616,"RanBP-type and C3HC4-type zinc finger containing 1"
"STAMBP",10617,"STAM binding protein"
"TGOLN2",10618,"trans-golgi network protein 2"
"POLR3F",10621,"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa"
"POLR3G",10622,"polymerase (RNA) III (DNA directed) polypeptide G (32kD)"
"POLR3C",10623,"polymerase (RNA) III (DNA directed) polypeptide C (62kD)"
"IVNS1ABP",10625,"influenza virus NS1A binding protein"
"TXNIP",10628,"thioredoxin interacting protein"
"TAF6L",10629,"TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"
"CENPE",1062,"centromere protein E, 312kDa"
"PDPN",10630,"podoplanin"
"POSTN",10631,"periostin, osteoblast specific factor"
"ATP5MG",10632,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G"
"RASL10A",10633,"RAS-like, family 10, member A"
"GAS2L1",10634,"growth arrest-specific 2 like 1"
"RAD51AP1",10635,"RAD51 associated protein 1"
"RGS14",10636,"regulator of G-protein signaling 14"
"LEFTY1",10637,"left-right determination factor 1"
"CENPF",1063,"centromere protein F, 350/400ka (mitosin)"
"EXOC5",10640,"exocyst complex component 5"
"NPRL2",10641,"tumor suppressor candidate 4"
"IGF2BP3",10643,"insulin-like growth factor 2 mRNA binding protein 3"
"CAMKK2",10645,"calcium/calmodulin-dependent protein kinase kinase 2, beta"
"SCGB1D2",10647,"secretoglobin, family 1D, member 2"
"SCGB1D1",10648,"secretoglobin, family 1D, member 1"
"PRELID3A",10650,"slowmo homolog 1 (Drosophila)"
"MTX2",10651,"metaxin 2"
"YKT6",10652,"YKT6 v-SNARE homolog (S. cerevisiae)"
"SPINT2",10653,"serine peptidase inhibitor, Kunitz type, 2"
"PMVK",10654,"phosphomevalonate kinase"
"KHDRBS3",10656,"KH domain containing, RNA binding, signal transduction associated 3"
"KHDRBS1",10657,"KH domain containing, RNA binding, signal transduction associated 1"
"CELF1",10658,"CUG triplet repeat, RNA binding protein 1"
"CELF2",10659,"CUG triplet repeat, RNA binding protein 2"
"LBX1",10660,"ladybird homeobox 1"
"KLF1",10661,"Kruppel-like factor 1 (erythroid)"
"CXCR6",10663,"chemokine (C-X-C motif) receptor 6"
"CTCF",10664,"CCCTC-binding factor (zinc finger protein)"
"CD226",10666,"CD226 molecule"
"FARS2",10667,"phenylalanyl-tRNA synthetase 2, mitochondrial"
"CGRRF1",10668,"cell growth regulator with ring finger domain 1"
"CGREF1",10669,"cell growth regulator with EF-hand domain 1"
"RRAGA",10670,"Ras-related GTP binding A"
"DCTN6",10671,"dynactin 6"
"GNA13",10672,"guanine nucleotide binding protein (G protein), alpha 13"
"CSPG5",10675,"chondroitin sulfate proteoglycan 5 (neuroglycan C)"
"AVIL",10677,"advillin"
"B3GNT2",10678,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"GNB5",10681,"guanine nucleotide binding protein (G protein), beta 5"
"EBP",10682,"emopamil binding protein (sterol isomerase)"
"DLL3",10683,"delta-like 3 (Drosophila)"
"CLDN16",10686,"claudin 16"
"PNMA2",10687,"paraneoplastic antigen MA2"
"CETN1",1068,"centrin, EF-hand protein, 1"
"FUT9",10690,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase)"
"GMEB1",10691,"glucocorticoid modulatory element binding protein 1"
"CCT6B",10693,"chaperonin containing TCP1, subunit 6B (zeta 2)"
"CCT8",10694,"chaperonin containing TCP1, subunit 8 (theta)"
"CNPY3",10695,"trinucleotide repeat containing 5"
"CORIN",10699,"corin, serine peptidase"
"CETN2",1069,"centrin, EF-hand protein, 2"
"CETN3",1070,"centrin, EF-hand protein, 3 (CDC31 homolog, yeast)"
"USP39",10713,"ubiquitin specific peptidase 39"
"POLD3",10714,"polymerase (DNA-directed), delta 3, accessory subunit"
"TBR1",10716,"T-box, brain, 1"
"CETP",1071,"cholesteryl ester transfer protein, plasma"
"POLQ",10721,"polymerase (DNA directed), theta"
"OGA",10724,"meningioma expressed antigen 5 (hyaluronidase)"
"NFAT5",10725,"nuclear factor of activated T-cells 5, tonicity-responsive"
"NUDC",10726,"nuclear distribution gene C homolog (A. nidulans)"
"PTGES3",10728,"prostaglandin E synthase 3 (cytosolic)"
"CFL1",1072,"cofilin 1 (non-muscle)"
"YME1L1",10730,"YME1-like 1 (S. cerevisiae)"
"PLK4",10733,"polo-like kinase 4 (Drosophila)"
"STAG3",10734,"stromal antigen 3"
"STAG2",10735,"stromal antigen 2"
"SIX2",10736,"SIX homeobox 2"
"RFPL3",10738,"ret finger protein-like 3"
"RFPL2",10739,"ret finger protein-like 2"
"RBBP9",10741,"retinoblastoma binding protein 9"
"RAI2",10742,"retinoic acid induced 2"
"PTTG2",10744,"pituitary tumor-transforming 2"
"PHTF1",10745,"putative homeodomain transcription factor 1"
"MAP3K2",10746,"mitogen-activated protein kinase kinase kinase 2"
"MASP2",10747,"mannan-binding lectin serine peptidase 2"
"KIF1C",10749,"kinesin family member 1C"
"GRAP",10750,"GRB2-related adaptor protein"
"CHL1",10752,"cell adhesion molecule with homology to L1CAM (close homolog of L1)"
"CAPN9",10753,"calpain 9"
"GIPC1",10755,"GIPC PDZ domain containing family, member 1"
"TRAF3IP2",10758,"TRAF3 interacting protein 2"
"CTSC",1075,"cathepsin C"
"PLAC1",10761,"placenta-specific 1"
"NUP50",10762,"nucleoporin 50kDa"
"NES",10763,"nestin"
"KDM5B",10765,"jumonji, AT rich interactive domain 1B"
"TOB2",10766,"transducer of ERBB2, 2"
"HBS1L",10767,"HBS1-like (S. cerevisiae)"
"AHCYL1",10768,"S-adenosylhomocysteine hydrolase-like 1"
"PLK2",10769,"polo-like kinase 2 (Drosophila)"
"ZMYND11",10771,"zinc finger, MYND domain containing 11"
"SRSF10",10772,"FUS interacting protein (serine/arginine-rich) 1"
"ZBTB6",10773,"zinc finger and BTB domain containing 6"
"POP4",10775,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)"
"ARPP19",10776,"cyclic AMP phosphoprotein, 19 kD"
"ARPP21",10777,"cyclic AMP-regulated phosphoprotein, 21 kD"
"ZNF274",10782,"zinc finger protein 274"
"WDR4",10785,"WD repeat domain 4"
"SLC17A3",10786,"solute carrier family 17 (sodium phosphate), member 3"
"NCKAP1",10787,"NCK-associated protein 1"
"IQGAP2",10788,"IQ motif containing GTPase activating protein 2"
"VAMP5",10791,"vesicle-associated membrane protein 5 (myobrevin)"
"ZNF273",10793,"zinc finger protein 273"
"ZNF460",10794,"zinc finger protein 460"
"MTHFD2",10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"RPP40",10799,"ribonuclease P/MRP 40kDa subunit"
"ADCY1",107,"adenylate cyclase 1 (brain)"
"SEPTIN9",10801,"septin 9"
"SEC24A",10802,"SEC24 related gene family, member A (S. cerevisiae)"
"CCR9",10803,"chemokine (C-C motif) receptor 9"
"ENTR1",10807,"serologically defined colon cancer antigen 3"
"HSPH1",10808,"heat shock 105kDa/110kDa protein 1"
"CFTR",1080,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
"WASF3",10810,"WAS protein family, member 3"
"UTP14A",10813,"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
"CPLX2",10814,"complexin 2"
"FRS3",10817,"fibroblast growth factor receptor substrate 3"
"FRS2",10818,"fibroblast growth factor receptor substrate 2"
"CGA",1081,"glycoprotein hormones, alpha polypeptide"
"NEU3",10825,"sialidase 3 (membrane sialidase)"
"FAXDC2",10826,"chromosome 5 open reading frame 4"
"ALDH1L1",10840,"aldehyde dehydrogenase 1 family, member L1"
"FTCD",10841,"formiminotransferase cyclodeaminase"
"PPP1R17",10842,"chromosome 7 open reading frame 16"
"TUBGCP2",10844,"tubulin, gamma complex associated protein 2"
"CLPX",10845,"ClpX caseinolytic peptidase X homolog (E. coli)"
"PDE10A",10846,"phosphodiesterase 10A"
"PPP1R13L",10848,"protein phosphatase 1, regulatory (inhibitor) subunit 13 like"
"POLR1G",10849,"CD3e molecule, epsilon associated protein"
"CCL27",10850,"chemokine (C-C motif) ligand 27"
"HPSE",10855,"heparanase"
"RUVBL2",10856,"RuvB-like 2 (E. coli)"
"PGRMC1",10857,"progesterone receptor membrane component 1"
"CYP46A1",10858,"cytochrome P450, family 46, subfamily A, polypeptide 1"
"LILRB1",10859,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
"SLC26A1",10861,"solute carrier family 26 (sulfate transporter), member 1"
"ADAM28",10863,"ADAM metallopeptidase domain 28"
"SLC22A7",10864,"solute carrier family 22 (organic anion transporter), member 7"
"TSPAN9",10867,"tetraspanin 9"
"USP20",10868,"ubiquitin specific peptidase 20"
"USP19",10869,"ubiquitin specific peptidase 19"
"CD300C",10871,"CD300c molecule"
"ME3",10873,"malic enzyme 3, NADP(+)-dependent, mitochondrial"
"NMU",10874,"neuromedin U"
"FGL2",10875,"fibrinogen-like 2"
"SMR3B",10879,"submaxillary gland androgen regulated protein 3 homolog B (mouse)"
"ACTL7B",10880,"actin-like 7B"
"ACTL7A",10881,"actin-like 7A"
"C1QL1",10882,"complement component 1, q subcomponent-like 1"
"MRPS30",10884,"mitochondrial ribosomal protein S30"
"WDR3",10885,"WD repeat domain 3"
"CEACAM8",1088,"carcinoembryonic antigen-related cell adhesion molecule 8"
"PPARGC1A",10891,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha"
"MALT1",10892,"mucosa associated lymphoid tissue lymphoma translocation gene 1"
"MMP24",10893,"matrix metallopeptidase 24 (membrane-inserted)"
"LYVE1",10894,"lymphatic vessel endothelial hyaluronan receptor 1"
"YIF1A",10897,"Yip1 interacting factor homolog A (S. cerevisiae)"
"CPSF4",10898,"cleavage and polyadenylation specific factor 4, 30kDa"
"ADCY2",108,"adenylate cyclase 2 (brain)"
"RUNDC3A",10900,"RUN domain containing 3A"
"BRD8",10902,"bromodomain containing 8"
"BLCAP",10904,"bladder cancer associated protein"
"MAN1A2",10905,"mannosidase, alpha, class 1A, member 2"
"TRAFD1",10906,"TRAF-type zinc finger domain containing 1"
"TXNL4A",10907,"thioredoxin-like 4A"
"PNPLA6",10908,"patatin-like phospholipase domain containing 6"
"UTS2",10911,"urotensin 2"
"GADD45G",10912,"growth arrest and DNA-damage-inducible, gamma"
"EDAR",10913,"ectodysplasin A receptor"
"PAPOLA",10914,"poly(A) polymerase alpha"
"TCERG1",10915,"transcription elongation regulator 1"
"MAGED2",10916,"melanoma antigen family D, 2"
"BTNL3",10917,"butyrophilin-like 3"
"EHMT2",10919,"euchromatic histone-lysine N-methyltransferase 2"
"COPS8",10920,"COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)"
"RNPS1",10921,"RNA binding protein S1, serine-rich domain"
"FASTK",10922,"Fas-activated serine/threonine kinase"
"SUB1",10923,"SUB1 homolog (S. cerevisiae)"
"SMPDL3A",10924,"sphingomyelin phosphodiesterase, acid-like 3A"
"DBF4",10926,"DBF4 homolog (S. cerevisiae)"
"SPIN1",10927,"spindlin 1"
"RALBP1",10928,"ralA binding protein 1"
"SRSF8",10929,"splicing factor, arginine/serine-rich 2B"
"APOBEC2",10930,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2"
"MORF4L1",10933,"mortality factor 4 like 1"
"PRDX3",10935,"peroxiredoxin 3"
"GPR75",10936,"G protein-coupled receptor 75"
"EHD1",10938,"EH-domain containing 1"
"AFG3L2",10939,"AFG3 ATPase family gene 3-like 2 (yeast)"
"UGT2A1",10941,"UDP glucuronosyltransferase 2 family, polypeptide A1"
"MSL3",10943,"male-specific lethal 3-like 1 (Drosophila)"
"C11orf58",10944,"chromosome 11 open reading frame 58"
"KDELR1",10945,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1"
"SF3A3",10946,"splicing factor 3a, subunit 3, 60kDa"
"AP3M2",10947,"adaptor-related protein complex 3, mu 2 subunit"
"STARD3",10948,"StAR-related lipid transfer (START) domain containing 3"
"HNRNPA0",10949,"heterogeneous nuclear ribonucleoprotein A0"
"BTG3",10950,"BTG family, member 3"
"CBX1",10951,"chromobox homolog 1 (HP1 beta homolog Drosophila )"
"SEC61B",10952,"Sec61 beta subunit"
"TOMM34",10953,"translocase of outer mitochondrial membrane 34"
"PDIA5",10954,"protein disulfide isomerase family A, member 5"
"OS9",10956,"amplified in osteosarcoma"
"PNRC1",10957,"proline-rich nuclear receptor coactivator 1"
"TMED2",10959,"transmembrane emp24 domain trafficking protein 2"
"LMAN2",10960,"lectin, mannose-binding 2"
"ERP29",10961,"endoplasmic reticulum protein 29"
"MLLT11",10962,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"
"STIP1",10963,"stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)"
"IFI44L",10964,"interferon-induced protein 44-like"
"RAB40B",10966,"RAB40B, member RAS oncogene family"
"EBNA1BP2",10969,"EBNA1 binding protein 2"
"CKAP4",10970,"cytoskeleton-associated protein 4"
"YWHAQ",10971,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
"TMED10",10972,"transmembrane emp24-like trafficking protein 10 (yeast)"
"ASCC3",10973,"activating signal cointegrator 1 complex subunit 3"
"ADIRF",10974,"chromosome 10 open reading frame 116"
"UQCR11",10975,"ubiquinol-cytochrome c reductase, 6.4kDa subunit"
"CLP1",10978,"CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)"
"FERMT2",10979,"pleckstrin homology domain containing, family C (with FERM domain) member 1"
"COPS6",10980,"COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)"
"RAB32",10981,"RAB32, member RAS oncogene family"
"MAPRE2",10982,"microtubule-associated protein, RP/EB family, member 2"
"CCNI",10983,"cyclin I"
"GCN1",10985,"GCN1 general control of amino-acid synthesis 1-like 1 (yeast)"
"COPS5",10987,"COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)"
"METAP2",10988,"methionyl aminopeptidase 2"
"IMMT",10989,"inner membrane protein, mitochondrial (mitofilin)"
"LILRB5",10990,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5"
"SLC38A3",10991,"solute carrier family 38, member 3"
"SF3B2",10992,"splicing factor 3b, subunit 2, 145kDa"
"SDS",10993,"serine dehydratase"
"ILVBL",10994,"ilvB (bacterial acetolactate synthase)-like"
"SLC27A5",10998,"solute carrier family 27 (fatty acid transporter), member 5"
"ADCY3",109,"adenylate cyclase 3"
"NAT2",10,"N-acetyltransferase 2 (arylamine N-acetyltransferase)"
"SLC27A3",11000,"solute carrier family 27 (fatty acid transporter), member 3"
"SLC27A2",11001,"solute carrier family 27 (fatty acid transporter), member 2"
"KIF2C",11004,"kinesin family member 2C"
"SPINK5",11005,"serine peptidase inhibitor, Kazal type 5"
"LILRB4",11006,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4"
"IL24",11009,"interleukin 24"
"GLIPR1",11010,"GLI pathogenesis-related 1 (glioma)"
"TLK2",11011,"tousled-like kinase 2"
"KLK11",11012,"kallikrein-related peptidase 11"
"KDELR2",11014,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"KDELR3",11015,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3"
"ATF7",11016,"activating transcription factor 7"
"SNRNP27",11017,"putative nucleic acid binding protein RY-1"
"TMED1",11018,"transmembrane emp24 protein transport domain containing 1"
"LIAS",11019,"lipoic acid synthetase"
"CHAD",1101,"chondroadherin"
"IFT27",11020,"RAB, member of RAS oncogene family-like 4"
"RAB35",11021,"RAB35, member RAS oncogene family"
"TDRKH",11022,"tudor and KH domain containing"
"LILRA1",11024,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"
"LILRB3",11025,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"
"LILRA2",11027,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2"
"RCBTB2",1102,"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2"
"RBPMS",11030,"RNA binding protein with multiple splicing"
"RAB31",11031,"RAB31, member RAS oncogene family"
"ADAP1",11033,"centaurin, alpha 1"
"DSTN",11034,"destrin (actin depolymerizing factor)"
"STON1",11037,"stonin 1"
"CHAT",1103,"choline acetyltransferase"
"PIM2",11040,"pim-2 oncogene"
"B4GAT1",11041,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1"
"MID2",11043,"midline 2"
"TENT4A",11044,"polymerase (DNA directed) sigma"
"UPK1A",11045,"uroplakin 1A"
"SLC35D2",11046,"solute carrier family 35, member D2"
"ADRM1",11047,"adhesion regulating molecule 1"
"RCC1",1104,"regulator of chromosome condensation 1"
"NUDT21",11051,"nudix (nucleoside diphosphate linked moiety X)-type motif 21"
"CPSF6",11052,"cleavage and polyadenylation specific factor 6, 68kDa"
"OGFR",11054,"opioid growth factor receptor"
"ZPBP",11055,"zona pellucida binding protein"
"DDX52",11056,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52"
"ABHD2",11057,"abhydrolase domain containing 2"
"WWP1",11059,"WW domain containing E3 ubiquitin protein ligase 1"
"CHD1",1105,"chromodomain helicase DNA binding protein 1"
"WWP2",11060,"WW domain containing E3 ubiquitin protein ligase 2"
"CNMD",11061,"leukocyte cell derived chemotaxin 1"
"DUS4L",11062,"dihydrouridine synthase 4-like (S. cerevisiae)"
"CNTRL",11064,"centrosomal protein 110kDa"
"UBE2C",11065,"ubiquitin-conjugating enzyme E2C"
"SNRNP35",11066,"U11/U12 snRNP 35K"
"DEPP1",11067,"chromosome 10 open reading frame 10"
"RAPGEF4",11069,"Rap guanine nucleotide exchange factor (GEF) 4"
"TMEM115",11070,"transmembrane protein 115"
"TOPBP1",11073,"topoisomerase (DNA) II binding protein 1"
"TRIM31",11074,"tripartite motif-containing 31"
"STMN2",11075,"stathmin-like 2"
"TPPP",11076,"tubulin polymerization promoting protein"
"HSF2BP",11077,"heat shock transcription factor 2 binding protein"
"TRIOBP",11078,"TRIO and F-actin binding protein"
"RER1",11079,"RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)"
"CHD3",1107,"chromodomain helicase DNA binding protein 3"
